id,mid,hero,hero_type,item1,item2,item3,item4,item5,item6,result
0,6576116877,Phoenix,Ranged,aeon disk,spirit vessel,refresher orb,tranquil boots,,platemail,1
1,6576116877,Kunkka,Melee,silver edge,phase boots,assault cuirass,scythe of vyse,black king bar,magic wand,1
2,6576116877,Mars,Melee,black king bar,blink dagger,wraith pact,phase boots,soul ring,gem of the sight,1
3,6576116877,Pugna,Ranged,magic wand,tranquil boots,glimmer cape,froce staff,smoke of deceit,observer and sentry wards,1
4,6576116877,Nature's Prophet,Ranged,eye of skadi,gleipnir,silver edge,satanic,power treads,black king bar,1
5,6576116877,Enchantress,Ranged,froce staff,boots of speed,wraith pact,glimmer cape,sentry ward,magic wand,0
6,6576116877,Monkey King,Melee,battle fury,power treads,black king bar,daedalus,skull basher,aghanims scepter,0
7,6576116877,Timbersaw,Melee,shivas guard,wind waker,kaya and sange,black king bar,hood of defiance,boots of travel,0
8,6576116877,Tiny,Melee,phase boots,blink dagger,silver edge,black king bar,echo sabra,dust of apperance,0
9,6576116877,Grimstroke,Ranged,drum of endurance,tranquil boots,froce staff,,magic wand,sentry ward,0
10,6576223979,Enchantress,Ranged,froce staff,power treads,magic wand,glimmer cape,ogre axe,observer and sentry wards,0
11,6576223979,Monkey King,Melee,battle fury,power treads,black king bar,skull basher,daedalus,aghanims scepter,0
12,6576223979,Beastmaster,Melee,black king bar,helm of the overlord,aghanims scepter,boots of bearing,,,0
13,6576223979,Puck,Ranged,boots of travel,blink dagger,witch blade,aeon disk,octarine core,kaya and sange,0
14,6576223979,Shadow Shaman,Ranged,blink dagger,tranquil boots,iron branch,black king bar,magic stick,observer ward,0
15,6576223979,Phoenix,Ranged,magic wand,spirit vessel,refresher orb,tranquil boots,dust of apperance,vitality booster,1
16,6576223979,Pangolier,Melee,blink dagger,diffusal blade,abyssal blade,linkens sphere,octarine core,aegis of the immortal,1
17,6576223979,Mars,Melee,wraith pact,blink dagger,scythe of vyse,phase boots,cheese,soul ring,1
18,6576223979,Abaddon,Melee,magic wand,sentry ward,glimmer cape,,gem of the sight,boots of bearing,1
19,6576223979,Nature's Prophet,Ranged,butterfly,bloodthorn,silver edge,assault cuirass,satanic,black king bar,1
