MID,ITEM1,ITEM2,ITEM3,ITEM4,ITEM5,ITEM6,ITEM7,RESULT
0,POWER TREADS,DAEDALUS,EYE OF SKADI,MJOLLNIR,MOON SHARD,BLOODTHORN,,LOSE
1,SKULL BASHER,ARMLEF OF MORDIFFIAN,HEAVEN'S HALBERD,PHASE BOOTS,SATANIC,BRACER,THE LEVELLER,LOSE
2,AGHANIM'S SCEPTER,GLIMMER CAPE,OBSERVER AND SENTRY WARDS,FORCE STAFF,KAYA,TRANQUIL BOOTS,TELESCOPE,LOSE
3,SCYTHE OF VYSE,ARCANE BOOTS,NULL TALISMAN,DESOLATOR,OCTARINE CORE,MOON SHARD,GROVE BOW,LOSE
4,BLACK KING BAR,DESOLATOR,ORB OF CORROSION,POWER TREADS,ECHO SABRE,ABYSSAL BLADE,MIND EREAKER,LOSE
10,BLINK DAGGER,BLADE MAIL,DUST OF APPEARANCE,POWER TREADS,ASSAULT CUIRASS,RADIANCE,MIND BREAKER,LOSS
11,ARCANE ROOTS,GLIMMER CAPE,AGHANIM'S SCEPTER,DUST OF APPEARANCE,,BUCKLER,QUICEKNING CHARM,LOSS
12,WRAITH BAND,CRYSTALYS,ARCANE BOOTS,REFRESHER ORB,,SILVER EDGE,ENCHANTED QUIVER,LOSS
13,NULL TALISMAN,POWER TREADS,LOTUS ORB,SHADOW BLADE,MAGE SLAYER,BLITZ KNUCKLES,KEEN OPTIC,LOSS
14,ASSAULT CUIRASS,PHASE BOOTS,ULTIMATE ORB,DESOLATOR,BLINK DESOLATOR,ECHO SABRE,PENTA-EDGED SWORD,LOSS
20,DIFFUSAL BLADE,MANTA STYLE,POWER TREADS,MAGE SLAYER,EYE OF SKADI,HEART OF TARRASQUE,PALADIN SWORD,LOSE
21,BLINK DAGGER,LINKEN'S SPHERE,WITCH BLADE,BOTTLE,KAYA AND SANGE,BOOTS OF TRAVEL,FAIRY'S TRINKET,LOSE
22,BLINK DAGGER,SOUL RING,HAND OF MIDAS,BLACK KING BAR,PLATEMAIL,PHASE BOOTS,QUICKSILVER AMULET,LOSE
23,SPIRIT VESSEL,DUST OF APPEARANCE,PLATEMAIL,MAGIC WAND,TRANQUIL BOOTS,,CEREMONIAL ROBE,LOSE
24,WIND LACE,MAGIC WAND,,,TRANQUIL BOOTS,OGRE AXE,PSYCHIC HEADBAND,LOSE
34,POWER TREADS,MAGIC WAND,SHADOW BLADE,ECHO SABRE,QUELLING BLADE,ARMLET OF MORDIGGIAN,VAMBRACE,LOSE
35,BRACER,BLACK KING BAR,BLINK DAGGER,SOUL RING,BRACER,POWER TREADS,FAE GRENADE,LOSE
